"DATE","HOTEL_ID","COUNTRY","HOTEL_STARS","ROOM_PRICE","ROOM_COST","LOS","DTA","BOOKING_DOW","CHECK_IN_DOW"
2019-05-27,109625,"US",4,88.1,75.97,1,13,"Tue","Mon"
2019-05-27,109196,"US",2,68.83,63.97,1,1,"Tue","Wed"
2019-05-24,132232,"US",2,97.12,88.72,1,0,"Fri","Fri"
2019-05-30,229393,"US",2,63.61,56.25,1,0,"Thu","Thu"
2019-05-25,205543,"US",2,149.85,134.7,2,0,"Sat","Sat"
2019-05-25,205543,"US",2,149.85,134.7,2,0,"Sat","Sat"
2019-05-25,161967,"US",3,101.5,92.55,1,0,"Sat","Sat"
2019-05-28,161967,"US",3,204.3,180.64,2,0,"Wed","Tue"
2019-05-24,161967,"US",3,109.39,99.44,1,0,"Sat","Fri"
2019-05-17,956138,"US",3,280.6,246.12,1,1,"Fri","Sat"
2019-05-30,203124,"US",1,103.74,94.51,1,2,"Thu","Sat"
2019-05-12,204694,"US",2,135.15,127.39,1,0,"Mon","Sun"
2019-05-29,138896,"US",3,614.48,531.7,5,3,"Wed","Sat"
2019-05-29,688913,"US",3,219.01,193.85,1,1,"Thu","Fri"
2019-05-10,531742,"US",2,154.53,138.73,1,0,"Sat","Sat"
2019-05-24,105917,"US",3,145.55,131,1,1,"Fri","Sat"
2019-05-15,132848,"US",2,52.88,50,1,0,"Wed","Wed"
2019-05-26,132848,"US",2,53.31,50,1,1,"Sun","Mon"
2019-05-20,132848,"US",2,53.31,50,1,0,"Tue","Mon"
2019-05-22,169459,"US",2,119.17,107.97,1,0,"Wed","Wed"
2019-05-25,169459,"US",2,334.23,293.94,1,0,"Sat","Sat"
2019-05-25,532181,"US",3,100.83,91.97,1,0,"Sun","Sun"
2019-05-22,532181,"US",3,148.79,133.79,1,2,"Thu","Sat"
2019-05-30,532181,"US",3,117.13,103.97,1,0,"Fri","Fri"
2019-05-26,532181,"US",3,120.89,91.97,1,0,"Sun","Sun"
2019-05-26,532181,"US",3,100.83,91.97,1,0,"Sun","Sun"
2019-05-27,532181,"US",3,93.96,85.97,1,0,"Mon","Mon"
2019-05-18,532181,"US",3,157.1,140.97,1,0,"Sun","Sat"
2019-05-24,532181,"US",3,277.32,200.98,2,0,"Sat","Sat"
2019-05-24,532181,"US",3,156.87,106.2,1,0,"Sat","Fri"
2019-05-23,653808,"US",2,132.57,121.5,1,2,"Fri","Sun"
2019-05-10,653808,"US",2,135.04,121.82,1,0,"Fri","Fri"
2019-05-22,112917,"US",3,94.39,86.33,2,33,"Thu","Tue"
2019-05-24,112917,"US",3,122.82,109.71,3,3,"Fri","Mon"
2019-05-24,112917,"US",3,128.38,116,3,3,"Fri","Mon"
2019-05-31,112917,"US",3,121.17,109.71,3,3,"Fri","Mon"
2019-05-29,112917,"US",3,24.64,23.38,1,0,"Wed","Wed"
2019-05-30,112917,"US",3,246.31,218.28,3,4,"Thu","Mon"
2019-05-30,112917,"US",3,79.77,73.55,2,9,"Fri","Sun"
2019-05-28,112917,"US",3,449.09,391.92,3,41,"Fri","Thu"
2019-05-28,112917,"US",3,26.38,26.73,1,7,"Wed","Wed"
2019-05-30,112917,"US",3,461.75,402.67,4,12,"Fri","Wed"
2019-05-28,112917,"US",3,73.58,68.13,2,28,"Tue","Tue"
2019-05-28,112917,"US",3,22.57,23.38,1,0,"Tue","Tue"
2019-05-30,112917,"US",3,60.23,56.44,1,0,"Thu","Thu"
2019-05-30,112917,"US",3,221.63,194,2,7,"Thu","Thu"
2019-05-30,112917,"US",3,189.35,160.81,4,65,"Fri","Sun"
2019-05-31,112917,"US",3,258.55,228.84,3,2,"Fri","Sun"
2019-05-27,112917,"US",3,141.62,127.53,3,0,"Mon","Mon"
2019-05-16,112917,"US",3,91.72,84,1,0,"Thu","Thu"
2019-05-20,112917,"US",3,180.13,161,1,0,"Tue","Mon"
2019-05-15,119819,"US",2,84.16,77.38,1,0,"Thu","Wed"
2019-05-26,119819,"US",2,74.22,68.69,1,0,"Mon","Sun"
2019-05-24,275487,"US",3,90.4,82.84,1,1,"Fri","Sat"
2019-05-25,275487,"US",3,72.25,66.97,1,0,"Sat","Sat"
2019-05-25,275487,"US",3,90.4,82.84,1,0,"Sat","Sat"
2019-05-11,275487,"US",3,96.16,84.82,1,0,"Sun","Sat"
2019-05-26,275487,"US",3,66.54,61.97,1,0,"Sun","Sun"
2019-05-25,275487,"US",3,72.25,66.97,1,0,"Sat","Sat"
2019-05-14,508331,"US",3,246.12,218.08,2,3,"Tue","Fri"
2019-05-18,508331,"US",3,368.82,306.44,3,55,"Sat","Fri"
2019-05-13,222974,"US",2,226.67,216.13779,3,12,"Tue","Sun"
2019-05-13,260617,"US",2,508.44,442.14,6,44,"Mon","Wed"
2019-05-24,254426,"US",2,97.01,88.63,1,1,"Sat","Sun"
2019-05-15,113297,"US",3,95.24,87.08,1,45,"Fri","Mon"
2019-05-29,113297,"US",3,110.63,90.92,1,0,"Wed","Wed"
2019-05-29,113297,"US",3,107.26,87.36,1,0,"Wed","Wed"
2019-05-31,113297,"US",3,73.56,68.12,1,2,"Fri","Sun"
2019-05-28,113297,"US",3,73.98,68.49,1,4,"Mon","Fri"
2019-05-28,113297,"US",3,126.52,122.29724,1,0,"Tue","Tue"
2019-05-26,113297,"US",3,166.56,149.24,2,9,"Mon","Wed"
2019-05-27,113297,"US",3,243.92,232.30104,2,80,"Tue","Fri"
2019-05-18,113297,"US",3,91.71,84,1,42,"Sat","Sat"
2019-05-18,113297,"US",3,135.28,130.50536,1,0,"Tue","Tue"
2019-05-18,113297,"US",3,109.33,91.37,1,4,"Sat","Wed"
2019-05-18,113297,"US",3,87.61,80.41,1,1,"Sun","Mon"
2019-05-20,113297,"US",3,91.71,84,1,18,"Tue","Sat"
